score,level,severity,value,defanged,type,threat,sources,country,vt_detections,abuse_score,age_days,confidence,first_seen,source,reference
74,alta,alta,178.16.54.35:8848,178[.]16[.]54[.]35:8848,ip:port,DCRat,ThreatFox,NL,10/89,100,0,75,2026-09-23 09:44:20 UTC,ThreatFox,
73,alta,critica,81.70.21.163:18080,81[.]70[.]21[.]163:18080,ip:port,Cobalt Strike,ThreatFox,CN,6/89,82,0,100,2026-09-23 20:05:09 UTC,ThreatFox,
71,alta,critica,81.70.21.163:5985,81[.]70[.]21[.]163:5985,ip:port,Cobalt Strike,ThreatFox,CN,,82,0,100,2026-09-23 13:05:06 UTC,ThreatFox,
71,alta,alta,156.225.17.60:113,156[.]225[.]17[.]60:113,ip:port,Ghost RAT,ThreatFox,HK,,100,0,75,2026-09-23 08:22:50 UTC,ThreatFox,https://bazaar.abuse.ch/sample/02568bc7bcd6fc98999c6888d25b379bcd7002e34790cce0a9947c44bd839984/
71,alta,alta,156.225.17.60:2014,156[.]225[.]17[.]60:2014,ip:port,Ghost RAT,ThreatFox,HK,,100,0,75,2026-09-23 08:22:50 UTC,ThreatFox,https://bazaar.abuse.ch/sample/02568bc7bcd6fc98999c6888d25b379bcd7002e34790cce0a9947c44bd839984/
71,alta,critica,81.70.21.163:8012,81[.]70[.]21[.]163:8012,ip:port,Cobalt Strike,ThreatFox,CN,,82,0,100,2026-09-23 07:05:05 UTC,ThreatFox,
70,alta,alta,0de0aa09779fc1dc5339d362dcfc40453a0b8747d52913487088f54b45798af9,0de0aa09779fc1dc5339d362dcfc40453a0b8747d52913487088f54b45798af9,sha256_hash,Mirai,ThreatFox,,43/74,,0,100,2026-09-24 03:37:35 UTC,ThreatFox,
70,alta,alta,02040009ebcecfee14b8ab21e737d154a7bf8c89641b4b8d54733ee82a8d80db,02040009ebcecfee14b8ab21e737d154a7bf8c89641b4b8d54733ee82a8d80db,sha256_hash,Mirai,ThreatFox,,45/75,,0,100,2026-09-24 03:37:34 UTC,ThreatFox,
70,alta,alta,cd226b634e8dcefbf72f2465a922a9f33f235fa8fafa0d41bd1206bb56b5d475,cd226b634e8dcefbf72f2465a922a9f33f235fa8fafa0d41bd1206bb56b5d475,sha256_hash,Mirai,ThreatFox,,44/74,,0,100,2026-09-24 03:37:33 UTC,ThreatFox,
70,alta,alta,718d1345ec4633350c6f36e892b372d433dc66bd4befaa2139e0e70afe04bd88,718d1345ec4633350c6f36e892b372d433dc66bd4befaa2139e0e70afe04bd88,sha256_hash,Mirai,ThreatFox,,43/74,,0,100,2026-09-24 03:37:30 UTC,ThreatFox,
